,Business,Construction,Culinary & Hospitality,Education & Child Development,Engineering & Computer Science,Health Science,Information Technology,Manufacturing,"Transportation, Distribution, & Logistics"
0,43-3011,51-4121,35-2013,39-9011,17-3027,31-1128,15-1251,,53-3033
1,43-3021,47-2051,11-9081,25-2051,17-3026,31-9099,15-1244,51-4012,53-3032
2,41-1012,47-3012,51-3011,25-3011,17-3022,39-4021,15-1232,49-9044,49-3021
3,43-4041,47-1011,35-2019,25-9031,17-3023,31-2021,15-1257,51-4032,49-3011
4,11-2022,49-9051,11-9051,25-2059,17-3029,29-2041,15-1151, 17-3026,53-3031
5,43-4131,43-5041,43-4081,25-2011,,21-1094,15-1256,51-4035,53-7062
6,13-2011,47-3015,35-2014,25-2052,,31-9097,15-1212, 17-3024,49-3022
7,13-1141,49-9021,35-2012,25-9041,,29-1126,15-1299,51-2098,53-3099
8,41-4012,,13-1121,25-3097,,29-2032,15-1134,17-3012,53-1047
9,43-4051,,35-1011,25-9045,,29-2098,15-1231,51-4034,51-9124
10,43-9061,,35-1012,25-4022,,31-1131,49-2011,51-2028,49-3023
11,23-2011,,,,,39-9031,,51-9162,53-7063
12,43-4141,,,,,39-4011,,51-4022,53-7051
13,22-5053,,,,,29-2061,,17-3027,43-5061
14,22-6132,,,,,29-2031,,17-3026,49-3031
15,13-1161,,,,,31-9092,,51-4121,53-3052
16,27-3099,,,,,29-1141,,49-2094,53-7064
17,13-2082,,,,,39-4031,,51-9032,43-5071
18,43-3031,,,,,29-1292,,51-4041,
19,43-4171,,,,,29-2055,,49-9041,
20,11-2011,,,,,31-1132,,17-3013,
21,11-1021,,,,,31-9093,,17-3024,
22,,,,,,29-2034,,51-4031,
23,,,,,,11-9171,,51-4081,
24,,,,,,29-2052,,11-3051,
25,,,,,,53-3011,,49-1011,
26,,,,,,,,51-4111,
27,,,,,,,,51-9161,
28,,,,,,,, 49-2094,
29,,,,,,,,51-4011,
30,,,,,,,,51-9061,
31,,,,,,,,51-1011,
32,,,,,,,,51-1011,
33,,,,,,,,47-2211,
34,,,,,,,,49-9043,
35,,,,,,,,51-4122,
