date,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services"
2021-08-01,0.3353470712900162,0.11281754076480865
2021-09-01,0.33795177936553955,0.11645685136318207
2021-10-01,0.3325740844011307,0.1131598986685276
2021-11-01,0.3387796878814697,0.11411844566464424
2021-12-01,0.34177687764167786,0.11814646050333977
2022-01-01,0.33784230053424835,0.11563843861222267
2022-02-01,0.33942675590515137,0.11439882963895798
2022-03-01,0.3369177579879761,0.11610408872365952
2022-04-01,0.32954996824264526,0.11258641630411148
2022-05-01,0.336076021194458,0.11301575973629951
2022-06-01,0.33842933177948,0.11666779965162277
2022-07-01,0.3262292146682739,0.11195666342973709
2022-08-01,0.338632732629776,0.11405478045344353
2022-09-01,0.3377004712820053,0.11634765192866325
2022-10-01,0.32929542660713196,0.11253813654184341
