category_clean,tot,counts,mean
Administration,36875076750.5,725284.0,50842.25868832071
"Agriculture, Horticulture, and Landscaping",708728630.0,15721.0,45081.650658355065
Analysis,16241457138.5,200009.0,81203.63152908119
Architecture and Construction,10599160643.5,195320.0,54265.61869496211
Business,81122169973.5,1101120.0,73672.41533484089
Customer and Client Support,26758409413.5,589536.0,45388.9319965193
Design,6293966071.0,80102.0,78574.39353574193
"Economics, Policy, and Social Studies",3487951085.5,49872.0,69938.06315166828
Education and Training,9988969802.0,171935.0,58097.36122371827
Energy and Utilities,1342500535.0,21482.0,62494.206079508425
Engineering,13214107951.0,190977.0,69192.14329997853
Environment,1477653685.0,21978.0,67233.3099008099
Finance,45684706726.5,664934.0,68705.62601175455
Health Care,49566344441.5,751983.0,65914.18215770835
Hospitality and Food Services,7713549249.5,205465.0,37541.91346214684
Human Resources,7391962946.0,111803.0,66115.96241603534
Information Technology,123190715396.5,1275882.0,96553.37672018258
"Law, Regulation, and Compliance",32609351599.0,586651.0,55585.60643210358
"Maintenance, Repair, and Facility Services",15776857222.0,340125.0,46385.46776038221
Manufacturing and Production,15304749090.5,287163.0,53296.382509236915
Marketing and Public Relations,18289154816.0,278282.0,65721.65938149072
Media and Communications,50975714313.5,906094.0,56258.748334609874
"Performing Arts, Sports, and Recreation",770245353.5,16444.0,46840.510429335925
Personal Care and Services,576291910.0,10557.0,54588.605664488015
Physical and Inherent Abilities,102412074530.0,1832217.0,55895.16663692128
Property and Real Estate,1600670156.5,24951.0,64152.54524868743
Public Safety and National Security,3699921235.5,71589.0,51682.817688471696
Sales,38590811431.0,652441.0,59148.354304833694
Science and Research,11298392632.0,166680.0,67784.93299736021
Social and Human Services,2242916839.5,38469.0,58304.52674881073
"Transportation, Supply Chain, and Logistics",33825784851.5,737461.0,45867.89654164763
