,0,1,2,3,4
Fire Prevention,Firefighters,"Helpers--Installation, Maintenance, and Repair Workers",Occupational Health and Safety Specialists,First-Line Supervisors of Firefighting and Prevention Workers,Unclassified Occupation
Joint Injection,Physician Assistants,Nurse Practitioners,"Physicians, All Other",General Internal Medicine Physicians,Medical and Health Services Managers
Membership Sales,Retail Salespersons,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales Managers,"Locker Room, Coatroom, and Dressing Room Attendants"
Control-M (Batch Scheduling Software),Software Developers,"Computer Occupations, All Other",Database Administrators,Computer User Support Specialists,Computer Systems Analysts
SAP CRM,Financial and Investment Analysts,Software Developers,Data Scientists,"Computer Occupations, All Other",Customer Service Representatives
Heat Treating,Tool and Die Makers,"Production Workers, All Other",Mechanical Engineers,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Industrial Engineers
Drivetrain,Automotive Service Technicians and Mechanics,Bus and Truck Mechanics and Diesel Engine Specialists,Industrial Engineering Technologists and Technicians,"First-Line Supervisors of Mechanics, Installers, and Repairers",Unclassified Occupation
Public Utility,Security Guards,"Managers, All Other",Construction Managers,Unclassified Occupation,Software Developers
ISO/IEC 27000 Series,Information Security Analysts,"Computer Occupations, All Other",Compliance Officers,Financial Risk Specialists,"Managers, All Other"
Mechanical Reasoning,Unclassified Occupation,Chemical Equipment Operators and Tenders,Mechanical Engineers,"Maintenance and Repair Workers, General",Computer Numerically Controlled Tool Operators
QS9000 Standards,Industrial Engineers,First-Line Supervisors of Production and Operating Workers,"Production Workers, All Other",Industrial Production Managers,"First-Line Supervisors of Mechanics, Installers, and Repairers"
Materials Testing,Civil Engineers,Unclassified Occupation,"Life, Physical, and Social Science Technicians, All Other",Clinical Laboratory Technologists and Technicians,Construction Managers
Environmental Protection,Environmental Engineers,Occupational Health and Safety Specialists,"Physical Scientists, All Other",Physicists,Biochemists and Biophysicists
