,0,1,2,3,4
Account Management,41-4000,11-2000,13-1000,15-1200,11-9000
Accounting and Finance Software,43-3000,13-2000,11-3000,43-6000,15-1200
Accounts Payable and Receivable,43-3000,13-2000,11-3000,11-9000,99-9000
Administrative Support and Clerical Tasks,43-6000,43-4000,43-9000,99-9000,29-2000
Advertising,13-1000,11-2000,41-4000,27-3000,99-9000
Aerospace Engineering,17-2000,15-1200,11-9000,51-9000,99-9000
Agile Software Development,15-1200,13-1000,11-2000,11-9000,99-9000
Agricultural Management and Operations,15-1200,11-9000,99-9000,41-4000,17-2000
Agricultural Research and Agronomy,99-9000,11-9000,15-1200,41-4000,15-2000
Agriculture and Crop Farming,37-3000,99-9000,11-9000,15-1200,11-2000
Air Quality and Emissions,17-2000,13-1000,11-9000,19-2000,19-5000
Air Transportation,53-2000,15-1200,11-9000,17-2000,43-4000
Alternative Therapy,29-1000,31-9000,29-2000,11-9000,21-1000
Anesthesiology,29-1000,29-2000,31-9000,11-9000,31-1100
Animal Care,39-2000,41-2000,29-2000,99-9000,43-4000
Animal Health and Veterinary Medicine,29-1000,29-2000,39-2000,31-9000,41-2000
Animation and Game Design,27-1000,15-1200,99-9000,25-1000,27-4000
Appliance Repair and Maintenance,49-9000,35-9000,37-2000,53-7000,47-2000
Application Programming Interface (API),15-1200,13-1000,11-9000,99-9000,11-2000
Aquaculture,19-1000,11-9000,99-9000,19-4000,11-2000
Architectural Design,15-1200,17-2000,17-1000,11-9000,17-3000
Art and Illustration,27-1000,15-1200,25-1000,99-9000,11-9000
Artificial Intelligence and Machine Learning (AI/ML),15-1200,15-2000,99-9000,13-2000,11-9000
Audio Production and Technology,27-4000,15-1200,25-2000,99-9000,25-9000
Auditing,13-2000,11-3000,15-1200,11-9000,13-1000
Augmented and Virtual Reality (AR/VR),15-1200,27-1000,99-9000,13-1000,11-2000
Automation Engineering,17-2000,15-1200,49-9000,17-3000,11-9000
Automotive Technologies,49-3000,53-3000,17-3000,17-2000,15-1200
Backup Software,15-1200,41-1000,43-9000,99-9000,11-9000
Banking Services,41-3000,43-3000,13-2000,99-9000,41-1000
Basic Electrical Systems,49-9000,17-3000,47-2000,17-2000,49-3000
Basic Technical Knowledge,43-4000,11-9000,99-9000,43-6000,29-2000
Beauty and Body Treatments and Alterations,39-5000,41-2000,41-1000,11-9000,31-1100
Billing and Invoicing,43-3000,43-4000,11-9000,13-1000,13-2000
Bioinformatics,15-2000,19-1000,11-9000,15-1200,99-9000
Biology,29-2000,11-9000,19-1000,15-2000,25-1000
Biotechnology,11-9000,15-2000,11-2000,41-4000,15-1200
Blockchain,15-1200,13-1000,99-9000,11-2000,11-3000
Blood Collection,31-9000,29-2000,29-1000,31-1100,11-9000
Brand Management,11-2000,13-1000,11-9000,41-4000,99-9000
Budget Management,11-9000,11-3000,13-2000,13-1000,11-2000
Business Analysis,15-1200,13-1000,11-9000,11-3000,11-2000
Business Communications,15-1200,13-1000,11-2000,11-9000,99-9000
Business Consulting,15-1200,13-1000,11-9000,11-3000,11-2000
Business Continuity,15-1200,13-1000,11-9000,11-3000,99-9000
Business Intelligence,15-1200,15-2000,13-2000,13-1000,11-3000
Business Intelligence Software,15-1200,15-2000,13-1000,13-2000,99-9000
Business Leadership,15-1200,13-1000,11-2000,11-9000,11-3000
Business Management,15-1200,11-9000,13-1000,11-3000,11-2000
Business Operations,15-1200,11-9000,13-1000,11-3000,99-9000
Business Solutions,15-1200,13-1000,11-3000,13-2000,11-9000
Business Strategy,11-2000,13-1000,15-1200,11-9000,41-4000
Business-to-Business (B2B) Sales,41-4000,11-2000,13-1000,15-1200,41-2000
C and C++,15-1200,17-2000,99-9000,15-2000,11-9000
Cannabis,99-9000,11-9000,13-1000,11-3000,41-4000
Cardiology,29-1000,29-2000,11-9000,31-9000,41-4000
Carpentry,49-9000,47-2000,41-2000,37-2000,99-9000
