,COUNTY_NAME
"Cook, IL",5662
"DuPage, IL",1374
"Lake, IL",633
"Will, IL",335
"Kane, IL",270
"Lake, IN",226
"McHenry, IL",160
"Kenosha, WI",150
"Porter, IN",70
"DeKalb, IL",59
"Kendall, IL",48
"Grundy, IL",27
"Jasper, IN",5
"Newton, IN",4
