,0
Skill cat: Information Technology,108767.22916666667
"Skill cat: Maintenance, Repair, and Facility Services",37639.479166666664
Skill cat: Architecture and Construction,22095.9375
Skill cat: Design,14479.458333333334
Skill cat: Engineering,26350.416666666668
Skill cat: Media and Communications,160138.79166666666
Skill cat: Business,164215.91666666666
Skill cat: Health Care,75751.4375
Skill cat: Finance,76336.79166666667
Skill cat: Human Resources,24659.770833333332
Skill cat: Manufacturing and Production,36398.979166666664
Skill cat: Marketing and Public Relations,47948.125
Skill cat: Energy and Utilities,4726.333333333333
Skill cat: Customer and Client Support,105940.1875
Skill cat: Education and Training,36544.125
Skill cat: Public Safety and National Security,11864.9375
Skill cat: Science and Research,39599.395833333336
Skill cat: Analysis,47999.25
Skill cat: Environment,5110.729166666667
"Skill cat: Transportation, Supply Chain, and Logistics",71411.58333333333
"Skill cat: Law, Regulation, and Compliance",99668.64583333333
Skill cat: Physical and Inherent Abilities,204630.66666666666
Skill cat: Administration,93349.64583333333
Skill cat: Social and Human Services,8481.6875
Skill cat: Sales,87691.125
"Skill cat: Performing Arts, Sports, and Recreation",2380.7291666666665
"Skill cat: Economics, Policy, and Social Studies",16240.583333333334
"Skill cat: Agriculture, Horticulture, and Landscaping",2382.75
Skill cat: Personal Care and Services,1868.4166666666667
Skill cat: Hospitality and Food Services,30992.458333333332
Skill cat: Property and Real Estate,4773.083333333333
Postings count,319786.4166666667
month,6.5
