,July 2023 actual,July 2025 predicted,Percent change,Monthly average obs
Skill subcat: Banking Services,0.0013137630974763,0.000577858810369,-56.014991479129705,3.9305555555555554
Skill subcat: Health Care Procedure and Regulation,0.0063650368156731,0.0027695129212597,-56.48865825190321,16.48611111111111
Skill subcat: Music,0.0024436036063131,0.0010454325509704,-57.21758847181664,10.097222222222221
Skill subcat: Document Management,0.0248175945904657,0.0105077022691881,-57.66027109966211,63.09722222222222
Skill subcat: Scripting Languages,0.0047876388294891,0.0019360420245976,-59.561652548377396,12.458333333333334
Skill subcat: Machinery,0.0020450375138674,0.0008225811253874,-59.77672195206802,6.458333333333333
Skill subcat: System Design and Implementation,0.0034958606811318,0.0013540022410537,-61.268415290069974,12.625
Skill subcat: Computer Hardware,0.0029648664953789,0.0010757918405764,-63.715336179448535,6.694444444444445
Skill subcat: Data Management,0.0081744722472697,0.0029426002221864,-64.00256636544044,27.305555555555557
"Skill subcat: Policy Analysis, Research, and Development",0.0704188658198548,0.0252730197576984,-64.11044190579311,115.70833333333333
Skill subcat: Systems Administration,0.0010691988895459,0.0003807947732872,-64.38503846099883,4.458333333333333
Skill subcat: Scripting,0.0009117223065495,0.0003218274093587,-64.70115877972906,7.986111111111111
Skill subcat: Computer Science,0.0157074170229488,0.0053687927201976,-65.82001539556947,57.361111111111114
Skill subcat: Project Management,0.033636866914643,0.0114516513611564,-65.95505939891447,129.66666666666666
Skill subcat: Data Science,0.0068629432844375,0.00229624604708,-66.54138098027128,19.541666666666668
Skill subcat: Lean Manufacturing,0.0015953309915971,0.0005280843335291,-66.8981335966883,7.847222222222222
Skill subcat: General Accounting,0.0094682070538864,0.0031204414978892,-67.04295248160678,30.930555555555557
Skill subcat: Coaching and Athletic Training,0.0062665118905388,0.0019690892456111,-68.57758702119378,30.944444444444443
Skill subcat: Business Solutions,0.0026131589457234,0.0008100729560251,-69.00024174377775,11.48611111111111
Skill subcat: General Medicine,0.0236462487206138,0.0072873068880959,-69.18197480624852,85.20833333333333
Skill subcat: Drafting and Engineering Design,0.0004638575435092,0.0001300730873131,-71.95839775956556,3.5555555555555554
Skill subcat: Account Management,0.0024914972601987,0.0006791296619667,-72.74210681200836,4.333333333333333
Skill subcat: Infectious Diseases,0.0065117524833312,0.0017710265912711,-72.80261195730982,23.444444444444443
Skill subcat: Networking Software,0.0001387563487011,3.5896538756182336e-05,-74.12980444339283,0.9027777777777778
Skill subcat: Signal Processing,7.316994176310334e-05,1.7781690923756896e-05,-75.69809337647513,0.6388888888888888
Skill subcat: People Management,0.0216239108089512,0.0051659779491991,-76.10988134921159,98.86111111111111
Skill subcat: Surgery,0.0010652577801991,0.0002338160854834,-78.05075073568585,3.611111111111111
Skill subcat: Statistics,0.0023193110158147,0.000495229666516,-78.64755252145251,6.125
Skill subcat: Mobility Assistance,0.0045574574484901,0.0009424437471277,-79.32084374282124,9.347222222222221
Skill subcat: Identity and Access Management,0.001686575329586,0.0003456024594922,-79.50862594574805,4.569444444444445
Skill subcat: Safety and Security,0.0021112041573227,0.0004090122200585,-80.6265908183326,10.88888888888889
Skill subcat: Library and Archiving,0.0240195686876311,0.0044204367014766,-81.59651924244207,63.791666666666664
Skill subcat: Business Analysis,0.0448035338195112,0.008056673735053,-82.01777170633704,72.90277777777777
Skill subcat: Waste Management,0.0006066110088313,0.0001086308988519,-82.09216495078306,1.3194444444444444
Skill subcat: Manufacturing Processes,0.0024751165885312,0.0003900658090211,-84.2405076662439,5.527777777777778
Skill subcat: Alternative Therapy,0.0013677890212988,0.000186294658872,-86.3798688269115,5.708333333333333
Skill subcat: Laboratory Research,0.0016473232221921,0.0001909195025347,-88.4103192401645,5.25
Skill subcat: Software Quality Assurance,0.0023815943284507,0.0002328340342198,-90.22360645394778,6.458333333333333
Skill subcat: Financial Advisement,0.0007929994774699,7.372500874239113e-05,-90.70301925322649,4.097222222222222
Skill subcat: Cardiology,6.35817290749882e-05,4.5328874017317405e-06,-92.87077047498086,0.7361111111111112
Skill subcat: Online Advertising,0.0002974972324692,1.879952073277129e-05,-93.68077458175425,1.7222222222222223
Skill subcat: Financial Management,0.0017016149617287,6.93229181037956e-05,-95.92605144742208,6.277777777777778
Skill subcat: Emergency and Intensive Care,0.0102200642778503,0.000353220392578,-96.5438535123157,29.944444444444443
Skill subcat: Dermatology,0.0002341151674767,7.097998661639964e-06,-96.96815941566605,0.7083333333333334
Skill subcat: General Networking,0.0031461148996992,5.961738785260415e-05,-98.10504734400183,8.069444444444445
Skill subcat: Engineering Software,3.400361929692648e-05,4.390972743060577e-07,-98.70867488995283,0.4305555555555556
Skill subcat: Graphic and Visual Design,0.0039459595143734,4.758634515078844e-05,-98.79404882443797,22.97222222222222
Skill subcat: Enterprise Application Management,6.212948954618053e-05,7.444912375354096e-07,-98.8017103585214,1.875
Skill subcat: Backup Software,5.513811925465747e-05,6.169900216369687e-07,-98.88101003447836,0.3333333333333333
Skill subcat: Augmented and Virtual Reality (AR/VR),0.0006494561004226,5.036736810301022e-06,-99.22446847338509,2.0416666666666665
Skill subcat: Interior Design,4.0994989588449536e-05,1.892717662382811e-07,-99.53830512426424,0.5277777777777778
Skill subcat: Theatre and Performance Art,0.0003085376846862,2.0286835510511452e-48,-100.0,2.1944444444444446
Skill subcat: Accounting and Finance Software,0.0003936303413124,3.907983688775855e-50,-100.0,1.7777777777777777
Skill subcat: Oncology,0.0011705575859146,5.9346359471881215e-49,-100.0,1.9027777777777777
Skill subcat: Application Programming Interface (API),0.0007108495604099,1.0955898921182231e-46,-100.0,2.8055555555555554
Skill subcat: Streaming Media Systems,0.0004085041385146,1.980909799254879e-52,-100.0,1.1111111111111112
Skill subcat: Electrical Power,3.400361929692648e-05,1.9281202731931217e-59,-100.0,0.09722222222222222
Skill subcat: Human Resources Software,0.0009565415455801,2.4659186780687256e-49,-100.0,2.875
Skill subcat: Clinical Trials,0.000261547466607,1.3062375320702586e-47,-100.0,2.4444444444444446
Skill subcat: Web Analytics and SEO,5.513811925465747e-05,2.397970517792194e-50,-100.0,1.75
Skill subcat: Network Security,0.0002361420329906,3.5925190101402983e-47,-100.0,2.4305555555555554
Skill subcat: Nephrology,0.0001056991338803,2.257473611200992e-55,-100.0,0.4305555555555556
Skill subcat: Network Protocols,0.0002431334032821,2.3648212066794303e-49,-100.0,2.375
Skill subcat: Cost Accounting,0.0008556046226127,1.5919664642544484e-52,-100.0,1.3611111111111112
Skill subcat: Intelligence Collection and Analysis,0.0003190081600204,8.595861213188098e-54,-100.0,0.875
Skill subcat: Safety and Surveillance Technology,0.0007559924087269,2.680950884011065e-47,-100.0,2.888888888888889
Skill subcat: Natural Language Processing (NLP),0.0002556260950279,1.2553710672672425e-59,-100.0,0.25
"Skill subcat: Elements, Compounds, and Materials",3.400361929692648e-05,7.564976817271548e-56,-100.0,0.3888888888888889
Skill subcat: Logistics,0.0014216277001052,2.2171707089359078e-51,-100.0,1.8472222222222223
Skill subcat: Wireless Technologies,0.0009065283201861,5.292607413729929e-49,-100.0,2.611111111111111
Skill subcat: Chemistry,0.0011724474141168,2.1611939099888572e-45,-100.0,3.6944444444444446
Skill subcat: HVAC,0.0002933245563076,1.318802464254447e-52,-100.0,1.3611111111111112
Skill subcat: Power Tools,0.0003988079532478,4.585811086060758e-51,-100.0,1.2916666666666667
Skill subcat: Networking Hardware,0.0006529512783231,1.7933174402625922e-52,-100.0,1.2777777777777777
Skill subcat: Medical Imaging,7.4622181291911e-05,1.8780619780938508e-52,-100.0,1.1111111111111112
"Skill subcat: Extraction, Transformation, and Loading (ETL)",9.6133108843107e-05,6.550783219056772e-54,-100.0,0.7222222222222222
Skill subcat: Architectural Design,0.0006266475092028,2.70819237411892e-54,-100.0,0.6944444444444444
Skill subcat: Version Control,0.0001867427085811,2.0197070001788625e-50,-100.0,1.6111111111111112
Skill subcat: Cloud Computing,0.0001920443659529,6.769745834209248e-50,-100.0,1.5833333333333333
Skill subcat: Cloud Solutions,0.0010833056755652,2.4205247671301635e-44,-100.0,3.6944444444444446
Skill subcat: Automotive Technologies,0.0001594929861847,8.839122924558964e-61,-100.0,0.18055555555555555
Skill subcat: Tax,0.000214985345382,6.512757676557172e-48,-100.0,3.0277777777777777
Skill subcat: Pharmacology and Drug Discovery,4.0994989588449536e-05,2.6486241800908856e-57,-100.0,0.4722222222222222
Skill subcat: Property Law,0.0003493780984145,1.6912764279572194e-48,-100.0,3.0694444444444446
Skill subcat: Other Programming Languages,0.0005177216524369,5.25963738235175e-50,-100.0,2.0694444444444446
Skill subcat: Construction Inspection,0.0002004879757732,3.4721364872769315e-52,-100.0,0.7638888888888888
Skill subcat: Query Languages,0.0009237744288719,1.1469501901194861e-46,-100.0,3.138888888888889
Skill subcat: Construction Estimating,4.4097667037734673e-05,8.096701384696598e-60,-100.0,0.1388888888888889
Skill subcat: Internal Controls,0.0004232084510904,5.660485782836874e-53,-100.0,1.2222222222222223
Skill subcat: Financial Analysis,0.0002819137912904,2.12443958505565e-48,-100.0,2.013888888888889
Skill subcat: Medical Billing and Coding,0.000167082635803,1.9591361793431294e-54,-100.0,0.6805555555555556
Skill subcat: Simulation and Simulation Software,0.001010594346035,2.906232854871649e-44,-100.0,4.083333333333333
Skill subcat: Financial Regulation,0.0005719072524222,5.241637030351577e-53,-100.0,1.1111111111111112
Skill subcat: Microsoft Development Tools,0.0002001337358306,2.537919170975318e-53,-100.0,0.7222222222222222
Skill subcat: Mainframe Technologies,0.0005992959290211,8.328084590059542e-48,-100.0,2.763888888888889
Skill subcat: Mobile Development,0.0006413518217786,7.00395298424116e-53,-100.0,1.0972222222222223
Skill subcat: Specialized Accounting,6.35817290749882e-05,-4.871280823220138e-08,-100.07661447548044,0.16666666666666666
Skill subcat: Animation and Game Design,0.0022860065631238,-7.1437967645855046e-06,-100.31250114850168,15.375
Skill subcat: Business Intelligence Software,0.0009109274971836,-7.838600477782363e-06,-100.86050761471333,4.166666666666667
Skill subcat: Cybersecurity,0.0004760025613057,-7.662691120104248e-06,-101.60980039667962,3.875
Skill subcat: Rehabilitation,0.0038469242945636,-6.660091822701598e-05,-101.73127707038934,14.347222222222221
Skill subcat: Accounts Payable and Receivable,0.0007415099478844,-2.6711522611242123e-05,-103.60231480204045,4.638888888888889
Skill subcat: Pharmacy,0.0030694649757693,-0.0002631342154353,-108.5726410795533,11.75
Skill subcat: Configuration Management,0.0003328446675163,-3.067167381957749e-05,-109.2150113289934,1.5416666666666667
Skill subcat: Engineering Practices,0.000541382738168,-7.312746122307786e-05,-113.50753470096512,3.125
Skill subcat: Compensation and Benefits,0.0092374944357713,-0.0015083024208523,-116.32804686746599,13.541666666666666
Skill subcat: Telecommunications,0.0012522311344865,-0.0005226654798567,-141.73873859725012,9.347222222222221
Skill subcat: Internet of Things (IoT),0.0,-1.7626087636713668e-07,-inf,0.6388888888888888
