,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs,model,Normalized RMSE
Skill cat: Administration,0.2979274098916702,0.2909614047994763,-2.3381551548838138,93349.64583333331,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.057298974478017
"Skill cat: Agriculture, Horticulture, and Landscaping",0.0091144289584983,0.0074210637654342,-18.578949935039056,2382.75,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.1292362830427243
Skill cat: Analysis,0.15862969765762,0.1502720227011711,-5.26866978873513,47999.25,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.130994656591916
Skill cat: Architecture and Construction,0.0712326180296085,0.0695134755603624,-2.413420307718461,22095.9375,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.1527659154309406
Skill cat: Business,0.5336737912362421,0.5115273576383695,-4.149807234597551,164215.91666666666,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.0774437069255226
Skill cat: Customer and Client Support,0.36293667006475,0.4338749722441477,19.5456419894804,105940.1875,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.0402349780374491
Skill cat: Design,0.0494627083818093,0.0461077063775622,-6.782891827009122,14479.458333333334,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.0292129362272594
"Skill cat: Economics, Policy, and Social Studies",0.0619226681925086,0.0547407881990378,-11.598143625115403,16240.583333333334,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.2756273596687906
Skill cat: Education and Training,0.1308780307497347,0.1205407782528584,-7.898386335475367,36544.125,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.1032924849798298
Skill cat: Energy and Utilities,0.0160792392820165,0.0147664443850343,-8.164533619761901,4726.333333333333,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.1430205354372323
Skill cat: Engineering,0.0923176389338343,0.0888001981942273,-3.810150238057984,26350.416666666668,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.1047374016649611
Skill cat: Environment,0.0195210151756944,0.0169829967603548,-13.001467354524085,5110.729166666667,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.0579674002082882
Skill cat: Finance,0.2474089649969461,0.2392620953853616,-3.292875669111279,76336.79166666667,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.0119037608342967
Skill cat: Health Care,0.2593042004777219,0.2402327731859649,-7.354847031641329,75751.4375,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.1339304511066578
Skill cat: Hospitality and Food Services,0.1143774289812188,0.1349826668710617,18.015125950441107,30992.45833333333,predicted job posting shares 15_53_15_17_04_2023 VAR for presentation lvl category,0.1091007693062449
Skill cat: Human Resources,0.095887122440244,0.1324377242276003,38.11836340185755,24659.77083333333,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.0363575730417025
Skill cat: Information Technology,0.3484055324070972,0.3413055860904677,-2.0378397172905784,108767.22916666669,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.0384583876478939
"Skill cat: Law, Regulation, and Compliance",0.3360708537857948,0.3145991122423112,-6.389051981630432,99668.64583333331,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.1408968573860855
"Skill cat: Maintenance, Repair, and Facility Services",0.1274640190782616,0.1146771663446852,-10.031735093591715,37639.47916666666,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.0338397714554687
Skill cat: Manufacturing and Production,0.1236541742138638,0.1108932103162737,-10.31988121607574,36398.97916666666,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.160288744398854
Skill cat: Marketing and Public Relations,0.1522460395718468,0.1485904666184825,-2.40109559739266,47948.125,predicted job posting shares 15_51_36_17_04_2023 ARIMA for presentation lvl category,0.0166094760423989
